,artists_id,artist_name,artist_followers,artists_popularity,artists_genre
235,1r4hJ1h58CWwUQe3MxPuau,Maluma,34297070,82,"latin pop,reggaeton,reggaeton colombiano,trap latino,urbano latino"
236,4fxd5Ee7UefO4CUXgwJ7IP,Giveon,3083972,75,r&b
237,4tZwfgrHOc3mvqYlEYSvVi,Daft Punk,9566066,79,"electro,filter house,rock"
238,7ltDVBr6mKbRvohxheJ9h1,ROSALÍA,7637567,82,"pop,r&b en espanol"
239,6VuMaDnrHyPL1p4EHjYLi7,Charlie Puth,20947037,81,"pop,viral pop"
240,3jOstUTkEu2JkjvRdBA5Gu,Weezer,3165869,72,"alternative rock,modern power pop,modern rock,permanent wave,rock"
241,3RqBeV12Tt7A8xH3zBDDUF,Kelsea Ballerini,1064734,71,"contemporary country,country"
242,0k17h0D3J5VfsdmQ1iZtE9,Pink Floyd,19392945,77,"album rock,art rock,classic rock,progressive rock,psychedelic rock,rock,symphonic rock"
243,4xFUf1FHVy696Q1JQZMTRj,Carrie Underwood,5841775,70,"classic oklahoma country,contemporary country,country,country dawn,country road,dance pop"
244,0EdvGhlC1FkGItLOWQzG4J,Sublime,2594786,70,"rap rock,reggae fusion,ska mexicano,ska punk"
245,64M6ah0SkkRsnPGtGiRAbb,Bebe Rexha,8381739,79,"dance pop,pop"
246,6deZN1bslXzeGvOLaLMOIF,Nickelback,6453715,74,"alternative metal,canadian rock,post-grunge"
247,7FBcuc1gsnv6Y1nwFtNRCb,My Chemical Romance,7833840,75,"emo,modern rock,pop punk,pov: indie,rock"
248,5WUlDfRSoLAfcVSX1WnrxN,Sia,26700678,81,"australian dance,australian pop,pop"
249,4Uc8Dsxct0oMqx0P6i60ea,Conan Gray,8198120,77,"bedroom pop,pop,pov: indie"
250,6BH1xcDkwbbyrLMUKECsW1,Toosii,1266675,69,north carolina hip hop
251,52iwsT98xCoGgiGntTiR7K,Quevedo,2481791,85,"rap canario,trap latino,urbano latino"
252,1yxSLGMDHlW21z4YXirZDS,Black Eyed Peas,7608338,78,"dance pop,pop,pop rap"
253,687cZJR45JO7jhk1LHIbgq,Tems,1151093,72,"afro r&b,afrobeats,alte,nigerian pop"
254,5Rl15oVamLq7FbSb0NNBNy,5 Seconds of Summer,9551973,75,"boy band,pop"
255,3uo0ix4Y67XHVWBhXXIY1S,Xavier Wulf,719208,68,"cloud rap,dark trap,memphis hip hop,underground hip hop"
256,1mfDfLsMxYcOOZkzBxvSVW,Cole Swindell,2133438,68,"contemporary country,country,country road,modern country rock"
257,02kJSzxNuaWGqwubyUba0Z,G-Eazy,5187924,73,"indie pop rap,oakland hip hop,pop rap,rap"
258,2bA6fzP0lMAQ4kz6CF61w8,Toby Keith,2066791,68,"classic oklahoma country,contemporary country,country,country road"
259,0X2BH1fck6amBIoJhDVmmJ,Ellie Goulding,12188886,79,"indietronica,metropopolis,pop,uk pop"
260,0LcJLqbBmaGUft1e9Mm8HV,ABBA,10684582,78,"europop,swedish pop"
261,3yY2gUcIsjMr8hjo51PoJ8,The Smiths,4315654,74,"madchester,new wave,permanent wave,rock,uk post-punk"
262,4nDoRrQiYLoBzwC5BhVJzF,Camila Cabello,31123606,78,"dance pop,pop"
